Gas,Year,Annual_Mean
CH4,1978,1488.05
CH4,1979,1495.1
CH4,1980,1540.1
CH4,1984,1602.055
CH4,1985,1602.595
CH4,1986,1617.7391666666667
CH4,1987,1631.7583333333332
CH4,1988,1641.8241666666668
CH4,1989,1655.4775
CH4,1990,1662.7575
CH4,1991,1674.0841666666668
CH4,1992,1687.0249999999999
CH4,1993,1688.7866666666666
CH4,1994,1693.9975
CH4,1995,1700.4633333333334
CH4,1996,1702.1066666666666
CH4,1997,1709.16
CH4,1998,1716.3241666666665
CH4,1999,1726.55
CH4,2000,1728.1008333333334
CH4,2001,1726.7741666666666
CH4,2002,1728.6425
CH4,2003,1729.3799999999999
CH4,2004,1728.7258333333334
CH4,2005,1727.9466666666667
CH4,2006,1727.4183333333333
CH4,2007,1732.9258333333332
CH4,2008,1741.5158333333334
CH4,2009,1744.0508333333332
CH4,2010,1750.555
CH4,2011,1757.9858333333334
CH4,2012,1762.0658333333333
CH4,2013,1765.775
CH4,2014,1774.9608333333333
CH4,2015,1785.8733333333332
CH4,2016,1791.8266666666666
CH4,2017,1798.46
CH4,2018,1810.1375
CH4,2019,1816.0608333333334
CH4,2020,1824.405
CH4,2021,1841.2341666666666
CH4,2022,1858.8891666666666
CH4,2023,1871.9058333333332
CH4,2024,1877.0216666666668
CH4,2025,1885.22
CH4,2026,1873.02
N2O,1978,299.37
N2O,1980,301.66
N2O,1981,301.84000000000003
N2O,1984,302.97999999999996
N2O,1986,304.46
N2O,1987,305.135
N2O,1988,305.65000000000003
N2O,1989,307.275
N2O,1990,307.906
N2O,1991,308.67
N2O,1992,309.29355555555554
N2O,1993,309.25508333333335
N2O,1994,309.90291666666667
N2O,1995,310.4805833333333
N2O,1996,311.1913333333333
N2O,1997,312.2288333333333
N2O,1998,313.0346666666667
N2O,1999,313.9853333333333
N2O,2000,314.84825
N2O,2001,315.3718333333333
N2O,2002,316.0933333333333
N2O,2003,316.59833333333336
N2O,2004,317.4085
N2O,2005,318.0593333333333
N2O,2006,318.8963333333333
N2O,2007,319.50441666666666
N2O,2008,320.7640833333333
N2O,2009,321.4506666666667
N2O,2010,322.47499999999997
N2O,2011,323.32783333333333
N2O,2012,324.37491666666665
N2O,2013,325.1795833333333
N2O,2014,326.1480833333333
N2O,2015,327.31533333333334
N2O,2016,327.97066666666666
N2O,2017,328.87925
N2O,2018,330.33141666666666
N2O,2019,330.93125
N2O,2020,331.87808333333334
N2O,2021,333.37891666666667
N2O,2022,334.8834166666667
N2O,2023,336.0615
N2O,2024,337.06075
N2O,2025,337.91775
N2O,2026,338.73099999999994
