Gas,Month_Num,mean_concentration,Month
CH4,1,1731.19,Jan
CH4,2,1721.0055813953488,Feb
CH4,3,1723.6092682926828,Mar
CH4,4,1723.3790476190477,Apr
CH4,5,1733.3838095238095,May
CH4,6,1743.9685365853659,Jun
CH4,7,1744.4159523809524,Jul
CH4,8,1751.612380952381,Aug
CH4,9,1748.367441860465,Sep
CH4,10,1752.4595238095237,Oct
CH4,11,1747.725,Nov
CH4,12,1739.5966666666666,Dec
N2O,1,321.76341666666667,Jan
N2O,2,320.84025,Feb
N2O,3,321.58979411764705,Mar
N2O,4,320.5246111111111,Apr
N2O,5,320.21956756756754,May
N2O,6,321.2375714285714,Jun
N2O,7,321.5669705882353,Jul
N2O,8,322.04482352941176,Aug
N2O,9,321.65025714285713,Sep
N2O,10,321.7690285714286,Oct
N2O,11,321.20618918918916,Nov
N2O,12,322.1776857142857,Dec
